Frame,X(cm),Y(cm)
736,37.907,11.4007
737,38.0114,11.3678
738,38.081,11.3678
739,38.081,11.335
740,38.1855,11.3021
741,38.1159,11.3678
742,38.2899,11.2036
743,38.3595,11.1707
744,38.3943,11.1378
745,38.4291,11.105
746,38.4639,11.0721
747,38.4988,11.0064
748,38.5336,10.9736
749,38.5336,10.9407
750,38.5684,10.875
751,38.6032,10.8093
752,38.638,10.8093
753,38.638,10.7107
754,38.6728,10.6779
755,38.7076,10.6779
756,38.7424,10.6122
757,38.812,10.5793
758,38.7772,10.5465
759,38.7772,10.5136
760,38.812,10.4479
761,38.9165,10.3493
762,38.8817,10.3493
763,38.9165,10.3165
764,38.9513,10.3165
765,38.9513,10.2836
766,38.9513,10.2508
767,38.9165,10.2836
768,39.0557,10.185
769,39.0557,10.1522
770,39.0905,10.1193
771,39.1253,10.0865
772,39.1601,10.0536
773,39.1949,10.0208
774,39.1949,9.98792
775,39.2297,9.95506
776,39.2646,9.92221
777,39.2646,9.88935
778,39.2297,9.95506
779,39.2297,9.92221
780,39.369,9.82364
781,39.2646,9.88935
782,39.2994,9.8565
783,39.4038,9.72508
784,39.2646,9.79079
785,39.2297,9.8565
786,39.4038,9.65937
787,39.543,9.49509
788,39.369,9.5608
789,39.3342,9.46224
790,39.2994,9.39653
791,39.3342,9.33082
792,39.2994,9.26511
793,39.2994,9.1994
794,39.2994,9.13369
795,39.1949,9.26511
796,39.4386,9.03512
797,39.4386,8.96941
798,39.5778,8.93656
799,39.6475,8.87085
800,39.6823,8.83799
801,39.7867,8.73943
802,39.8215,8.70657
803,39.8563,8.64086
804,39.6823,8.70657
805,39.9259,8.44373
806,39.7519,8.41088
807,39.7519,8.2466
808,39.6823,8.14804
809,39.5778,7.98376
810,39.5082,7.91805
811,39.4734,7.75378
812,39.4386,7.65521
813,39.3342,7.62236
814,39.2297,7.52379
815,39.2646,7.45808
816,39.0905,7.35952
817,39.0557,7.26095
818,38.9165,7.2281
819,39.0209,7.03097
820,38.9165,6.99811
821,38.8468,6.9324
822,38.8817,6.86669
823,38.812,6.76813
824,38.7424,6.70242
825,38.7772,6.63671
826,38.7424,6.571
827,38.7076,6.53814
828,38.638,6.40672
829,38.6032,6.34101
830,38.5684,6.2753
831,38.3943,6.11103
832,38.3943,6.20959
833,38.3943,6.07817
834,38.3595,6.01246
835,38.3247,5.94675
836,38.7076,6.11103
837,38.812,6.20959
838,38.7772,6.04532
839,38.7772,5.9139
840,38.7076,5.65106
841,38.5336,5.71677
842,38.638,5.78248
843,38.3595,5.6182
844,38.4639,5.58535
845,38.4639,5.51964
846,38.3943,5.38822
847,38.3943,5.32251
848,38.3247,5.28965
849,38.2899,5.19109
850,38.2551,5.15823
851,38.2203,5.12538
852,38.1855,5.09252
853,38.1507,5.02681
854,38.1159,4.99396
855,38.0462,4.92825
856,38.0462,4.89539
857,38.0114,4.86254
858,37.9766,4.79683
859,37.9418,4.76397
860,37.907,4.73112
861,37.907,4.69826
862,37.8722,4.63255
863,37.8026,4.56684
864,37.7678,4.50113
865,37.7678,4.46828
866,37.7678,4.50113
867,37.6633,4.40257
868,37.6981,4.36971
869,37.6633,4.304
870,37.6285,4.27115
871,37.6285,4.23829
872,37.5589,4.17258
873,37.5589,4.17258
874,37.4545,4.13973
875,37.5241,4.27115
876,37.4197,4.304
877,37.4197,4.23829
878,37.2108,4.27115
879,37.0716,4.46828
880,36.9672,4.53399
881,36.8975,4.63255
882,36.8279,4.66541
883,36.6887,4.73112
884,36.6191,4.76397
885,36.5494,4.82968
886,36.4798,4.86254
887,36.5146,4.89539
888,36.3754,4.99396
889,36.3058,4.99396
890,36.1666,5.02681
891,36.2362,5.02681
892,36.1666,5.09252
893,36.0969,5.12538
894,36.0273,5.15823
895,36.0273,5.15823
896,35.9229,5.15823
897,35.8881,5.22394
898,35.8533,5.2568
899,35.8185,5.2568
900,35.6792,5.32251
901,35.54,5.35536
902,35.6792,5.32251
903,35.6444,5.38822
904,35.4356,5.42107
905,35.54,5.45393
906,35.5052,5.45393
907,35.4704,5.48678
908,35.4008,5.38822
909,35.1919,5.48678
910,35.1223,5.38822
911,35.2615,5.19109
912,35.0527,5.22394
913,35.1919,4.89539
914,35.0179,5.38822
915,34.9482,5.42107
916,35.0179,5.42107
917,34.9482,5.42107
918,34.983,5.48678
919,34.809,5.48678
920,34.809,5.51964
921,34.7742,5.55249
922,34.7046,5.58535
923,34.6698,5.6182
924,34.6698,5.6182
925,34.635,5.65106
926,34.5653,5.65106
927,34.5653,5.65106
928,34.4609,5.78248
929,34.3565,5.88104
930,34.3217,5.9139
931,34.3913,5.81533
932,34.3565,5.58535
933,34.4261,5.51964
934,34.2521,5.74962
935,34.1824,5.78248
936,34.3217,5.84819
937,34.2521,5.84819
938,34.3565,5.84819
939,34.1824,5.84819
940,34.1128,5.84819
941,34.078,5.88104
942,34.2172,5.88104
943,34.1824,5.9139
944,34.1476,5.9139
945,33.9736,5.9139
946,33.9736,5.9139
947,33.904,5.9139
948,33.904,5.9139
949,33.904,5.97961
950,33.8343,5.94675
